version,zero_shot_acc,best_val_acc,final_val_acc,trainable_params,total_train_hr,peak_gpu_mem_mb,epochs,lr,batch_size,grad_accum,lora_r,lora_alpha,use_cot,image_edge,finished
v1,0.5076335877862596,0.7509541984732825,0.7509541984732825,3276800,0.373,4557.680128,2,0.0001,2,8,16,32,False,384,True
v2,0.5076335877862596,0.7557251908396947,0.7538167938931297,3276800,1.096,5959.00672,4,5e-05,2,8,16,32,True,384,True
v3,0.5076335877862596,0.7729007633587787,0.7729007633587787,4915200,0.817,5993.104896,3,0.0001,2,8,24,48,True,384,True
v4,0.5076335877862596,0.7853053435114504,0.7833969465648855,4915200,1.436,5993.104896,5,0.0001,2,8,24,48,True,384,True
v5,0.5133587786259542,0.7872137404580153,0.7843511450381679,4915200,1.413,3659.932672,4,0.0001,1,16,24,48,True,512,True
v6,0.43225190839694655,0.7690839694656488,0.7690839694656488,4915200,1.309,5847.052288,5,0.0001,2,8,24,48,True,384,True
v7,0.5076335877862596,0.7776717557251909,0.7700381679389313,4915200,1.387,5926.408192,5,0.0001,2,8,24,48,True,384,True
v8,0.5076335877862596,0.7824427480916031,0.7805343511450382,3276800,1.329,5959.00672,5,0.0001,2,8,16,32,True,384,True
v9,0.5076335877862596,0.8177480916030534,0.8177480916030534,4915200,1.823,6019.063808,5,0.0001,2,8,24,48,True,384,True
v10,0.575381679389313,0.7633587786259542,0.7633587786259542,4915200,1.309,5928.178688,5,0.0001,2,8,24,48,True,384,True
v11,0.517175572519084,0.7185114503816794,0.7146946564885496,4915200,1.33,4706.6624,5,0.0001,2,8,24,48,True,384,True
v12,0.575381679389313,0.7166030534351145,0.7080152671755725,4915200,30.408,4758.12096,5,0.0001,2,8,24,48,True,384,True
v13,0.5076335877862596,0.7919847328244275,0.7805343511450382,4341760,1.46,6656.539648,5,0.0001,2,8,16,32,True,384,True
